"USER_ID","Predictions"
2,NA
3,NA
6,NA
7,"Democrat"
14,NA
28,"Republican"
29,NA
37,NA
44,NA
56,"Democrat"
62,NA
68,"Republican"
72,NA
74,NA
80,"Democrat"
81,"Democrat"
87,NA
92,"Democrat"
96,"Democrat"
100,"Republican"
104,"Democrat"
105,NA
108,NA
124,NA
125,NA
127,"Democrat"
128,NA
129,NA
130,NA
139,"Republican"
149,"Republican"
151,"Republican"
154,"Democrat"
158,NA
159,"Democrat"
168,"Democrat"
177,NA
185,"Republican"
192,"Democrat"
195,NA
198,"Democrat"
208,"Democrat"
209,"Democrat"
213,"Republican"
225,"Democrat"
229,"Republican"
231,"Democrat"
236,"Democrat"
238,NA
239,"Republican"
240,"Democrat"
244,"Democrat"
259,NA
260,"Democrat"
264,"Democrat"
267,NA
268,NA
271,NA
272,"Democrat"
274,"Democrat"
285,"Republican"
286,NA
296,"Republican"
308,NA
310,NA
318,"Republican"
333,"Republican"
340,"Democrat"
342,NA
343,"Republican"
344,"Democrat"
345,"Republican"
346,"Democrat"
352,"Democrat"
354,NA
357,NA
366,NA
369,"Republican"
380,NA
389,"Republican"
391,"Democrat"
394,NA
396,NA
404,"Republican"
407,NA
422,NA
426,NA
428,"Democrat"
429,"Democrat"
438,"Republican"
452,NA
462,NA
469,"Republican"
480,NA
488,"Republican"
489,"Democrat"
492,NA
498,"Democrat"
505,"Democrat"
508,NA
510,"Democrat"
511,NA
512,"Republican"
518,NA
519,"Democrat"
522,"Republican"
523,NA
528,"Republican"
530,NA
543,"Democrat"
549,NA
553,NA
556,"Democrat"
558,"Democrat"
562,NA
563,"Democrat"
565,"Republican"
567,NA
571,"Republican"
572,"Democrat"
581,NA
584,NA
600,"Republican"
611,NA
617,NA
635,NA
642,NA
646,"Democrat"
648,NA
651,NA
659,"Republican"
661,NA
683,"Republican"
685,NA
694,"Democrat"
699,NA
701,NA
702,"Republican"
704,NA
713,"Republican"
720,NA
725,"Democrat"
726,NA
727,"Republican"
732,"Republican"
733,NA
734,NA
741,NA
747,NA
750,"Democrat"
752,"Republican"
753,NA
760,"Republican"
774,NA
782,"Republican"
803,"Republican"
807,NA
813,NA
838,"Democrat"
839,NA
844,NA
846,NA
847,NA
863,"Democrat"
864,NA
866,NA
870,"Republican"
873,NA
878,NA
883,"Democrat"
885,NA
886,NA
897,NA
902,"Republican"
907,"Democrat"
912,NA
914,"Republican"
918,NA
924,NA
932,"Republican"
947,NA
948,NA
951,"Republican"
958,"Democrat"
963,"Democrat"
965,NA
969,NA
973,"Democrat"
975,"Democrat"
983,NA
1002,NA
1015,"Democrat"
1019,NA
1020,"Republican"
1029,"Democrat"
1030,"Republican"
1032,"Republican"
1037,"Democrat"
1048,"Democrat"
1050,"Republican"
1053,NA
1056,NA
1057,NA
1062,"Democrat"
1067,"Republican"
1071,NA
1073,"Republican"
1076,NA
1079,NA
1081,NA
1083,NA
1084,NA
1085,"Republican"
1087,"Democrat"
1092,NA
1114,NA
1117,"Republican"
1124,"Republican"
1129,"Democrat"
1133,"Republican"
1148,NA
1151,NA
1154,NA
1157,"Republican"
1158,"Republican"
1162,NA
1166,"Republican"
1167,NA
1171,"Democrat"
1177,"Republican"
1179,NA
1191,NA
1199,NA
1200,"Democrat"
1206,NA
1208,NA
1209,"Democrat"
1215,"Republican"
1218,"Democrat"
1219,"Republican"
1221,"Republican"
1222,NA
1234,NA
1246,NA
1256,"Republican"
1259,NA
1262,"Republican"
1266,NA
1284,"Republican"
1288,NA
1298,"Republican"
1301,NA
1312,NA
1315,NA
1316,"Democrat"
1322,"Democrat"
1328,NA
1334,"Republican"
1342,NA
1344,NA
1362,NA
1364,NA
1367,NA
1371,"Republican"
1374,NA
1381,NA
1383,NA
1402,"Democrat"
1409,NA
1416,NA
1421,"Republican"
1427,"Republican"
1429,"Democrat"
1431,NA
1440,"Democrat"
1442,"Republican"
1446,NA
1451,"Republican"
1452,NA
1464,NA
1472,"Republican"
1473,"Democrat"
1474,NA
1484,NA
1490,NA
1497,NA
1499,NA
1503,NA
1511,"Democrat"
1516,NA
1521,NA
1522,"Democrat"
1523,"Republican"
1529,"Republican"
1536,"Democrat"
1540,NA
1545,NA
1548,NA
1552,NA
1557,NA
1558,NA
1559,"Republican"
1565,NA
1576,NA
1581,"Republican"
1592,NA
1594,"Republican"
1600,"Republican"
1604,NA
1613,NA
1615,"Republican"
1617,NA
1619,NA
1620,NA
1624,NA
1629,NA
1630,"Republican"
1637,"Republican"
1643,NA
1645,NA
1649,NA
1654,"Republican"
1668,NA
1680,NA
1681,NA
1683,"Republican"
1684,NA
1688,"Republican"
1689,NA
1691,"Democrat"
1692,NA
1693,NA
1696,NA
1702,NA
1706,NA
1708,NA
1719,"Republican"
1723,NA
1731,NA
1734,NA
1736,NA
1748,NA
1750,NA
1751,"Democrat"
1757,NA
1763,NA
1766,"Republican"
1767,NA
1776,NA
1782,NA
1790,NA
1812,"Democrat"
1816,NA
1819,"Republican"
1824,"Republican"
1831,"Republican"
1841,NA
1857,NA
1858,NA
1860,NA
1873,NA
1876,NA
1878,NA
1882,"Republican"
1884,NA
1890,"Democrat"
1905,NA
1906,"Republican"
1913,NA
1918,"Republican"
1921,"Democrat"
1925,"Republican"
1936,NA
1940,"Republican"
1941,NA
1947,NA
1948,"Democrat"
1959,NA
1963,NA
1966,"Republican"
1968,"Democrat"
1975,NA
1978,NA
1982,NA
1995,"Republican"
1999,"Republican"
2002,"Republican"
2014,NA
2028,"Democrat"
2031,"Republican"
2034,NA
2036,NA
2037,NA
2040,NA
2041,NA
2042,NA
2043,"Republican"
2056,NA
2058,"Democrat"
2064,NA
2069,NA
2080,"Republican"
2083,NA
2087,"Republican"
2093,NA
2100,"Republican"
2109,"Republican"
2113,"Republican"
2116,"Democrat"
2120,NA
2124,"Republican"
2127,NA
2133,NA
2135,NA
2137,NA
2141,NA
2149,"Republican"
2160,NA
2162,NA
2163,NA
